PassengerId,SibSp,Parch,Ticket,Fare,Cabin,Embarked
2,1,0,PC 17599,71.2833,C85,C
3,0,0,STON/O2. 3101282,7.925,,S
4,1,0,113803,53.1,C123,S
5,0,0,373450,8.05,,S
6,0,0,330877,8.4583,,Q
7,0,0,17463,51.8625,E46,S
8,3,1,349909,21.075,,S
10,1,0,237736,30.0708,,C
11,1,1,PP 9549,16.7,G6,S
12,0,0,113783,26.55,C103,S
15,0,0,350406,7.8542,,S
16,0,0,248706,16.0,,S
17,4,1,382652,29.125,,Q
18,0,0,244373,13.0,,S
20,0,0,2649,7.225,,C
21,0,0,239865,26.0,,S
22,0,0,248698,13.0,D56,S
23,0,0,330923,8.0292,,Q
24,0,0,113788,35.5,A6,S
25,3,1,349909,21.075,,S
26,1,5,347077,31.3875,,S
27,0,0,2631,7.225,,C
28,3,2,19950,263.0,C23 C25 C27,S
29,0,0,330959,7.8792,,Q
30,0,0,349216,7.8958,,S
31,0,0,PC 17601,27.7208,,C
32,1,0,PC 17569,146.5208,B78,C
33,0,0,335677,7.75,,Q
35,1,0,PC 17604,82.1708,,C
36,1,0,113789,52.0,,S
37,0,0,2677,7.2292,,C
38,0,0,A./5. 2152,8.05,,S
39,2,0,345764,18.0,,S
40,1,0,2651,11.2417,,C
41,1,0,7546,9.475,,S
42,1,0,11668,21.0,,S
44,1,2,SC/Paris 2123,41.5792,,C
45,0,0,330958,7.8792,,Q
46,0,0,S.C./A.4. 23567,8.05,,S
49,2,0,2662,21.6792,,C
50,1,0,349237,17.8,,S
51,4,1,3101295,39.6875,,S
52,0,0,A/4. 39886,7.8,,S
53,1,0,PC 17572,76.7292,D33,C
54,1,0,2926,26.0,,S
55,0,1,113509,61.9792,B30,C
56,0,0,19947,35.5,C52,S
57,0,0,C.A. 31026,10.5,,S
58,0,0,2697,7.2292,,C
60,5,2,CA 2144,46.9,,S
61,0,0,2669,7.2292,,C
62,0,0,113572,80.0,B28,
63,1,0,36973,83.475,C83,S
64,3,2,347088,27.9,,S
65,0,0,PC 17605,27.7208,,C
66,1,1,2661,15.2458,,C
68,0,0,S.P. 3464,8.1583,,S
69,4,2,3101281,7.925,,S
70,2,0,315151,8.6625,,S
71,0,0,C.A. 33111,10.5,,S
72,5,2,CA 2144,46.9,,S
75,0,0,1601,56.4958,,S
76,0,0,348123,7.65,F G73,S
77,0,0,349208,7.8958,,S
78,0,0,374746,8.05,,S
79,0,2,248738,29.0,,S
80,0,0,364516,12.475,,S
82,0,0,345779,9.5,,S
83,0,0,330932,7.7875,,Q
